run_name,eval_csv_name,data_idx,std_speed,max_speed,heading_change_per_sec,mean_acceleration,ml_ade_log
full_trainval_12ep_1seed,eval_epoch_12.csv,6225,0.1956109776544372,1.7254170510344584,4.865695791630524,-0.0323299522983093,0.17183849905708212
full_trainval_12ep_1seed,eval_epoch_12.csv,8318,0.0759802461113447,1.3524792050157846,5.550659842898377,-0.0323752536993427,0.19842030474546363
full_trainval_12ep_1seed,eval_epoch_12.csv,4108,0.4008162848122849,1.212696169698078,72.99907063854202,0.1418330434485334,0.4595905143673079
full_trainval_12ep_1seed,eval_epoch_12.csv,15137,0.0370208006864135,1.484560541035716,1.9473167263583064,0.0023936094774184,0.28804250383076885
full_trainval_12ep_1seed,eval_epoch_12.csv,22805,0.1380005668954941,1.7066048165873149,3.538958651976347,-0.0416342936738866,0.29386353194484766
full_trainval_12ep_1seed,eval_epoch_12.csv,1315,0.1054016812171222,1.5888926961881844,11.155895514234956,0.0031201439412482,1.0210984357249582
full_trainval_12ep_1seed,eval_epoch_12.csv,16674,0.5326398589424439,1.4699333318216985,23.004691344960143,0.1713001334861468,1.4642372223194546
full_trainval_12ep_1seed,eval_epoch_12.csv,4899,0.0290498799048108,1.5099841058766743,0.770729035734477,-0.0081349408608736,0.1924542360541341
full_trainval_12ep_1seed,eval_epoch_12.csv,5566,0.5150154182462527,2.3272301132462334,3.755951964385475,0.108233543851143,0.5309572075768918
full_trainval_12ep_1seed,eval_epoch_12.csv,8768,0.2718308133467428,1.406767926845235,21.998786964840566,0.1513185656273937,0.20047936386016169
full_trainval_12ep_1seed,eval_epoch_12.csv,25535,0.0157653130701342,0.0573061951273492,2.4371769723123853,0.0015547163309445,0.14073476623061876
full_trainval_12ep_1seed,eval_epoch_12.csv,7958,0.0203323374886548,0.0566392090338179,17.537654760573172,-0.0075518945378423,0.05221105603240539
full_trainval_12ep_1seed,eval_epoch_12.csv,4489,0.0054154322696387,1.5213704348381951,2.0516318638828666,-0.0006771874854111,0.1638510899725051
full_trainval_12ep_1seed,eval_epoch_12.csv,3321,0.3346336739124715,1.9902984700795028,14.247920651175892,0.0751914768558638,1.1238042692918129
full_trainval_12ep_1seed,eval_epoch_12.csv,22004,0.0689304062899686,1.5084296470168683,0.724511769827745,0.0011043718157725,0.17087569171643205
full_trainval_12ep_1seed,eval_epoch_12.csv,9347,0.157581995396277,1.466215707186498,5.732448131844632,-0.0173872457677131,0.7109096981834327
full_trainval_12ep_1seed,eval_epoch_12.csv,4114,0.558940339933271,1.595374564170011,55.689748996655304,0.1422729864524224,1.3592887399502804
full_trainval_12ep_1seed,eval_epoch_12.csv,22100,0.0236147045408151,1.2105023750491628,9.096917520777664,0.0060546577250817,0.641857355784119
full_trainval_12ep_1seed,eval_epoch_12.csv,18429,0.0756743887508484,1.5876548743351189,3.1208522864941717,-0.0116036771238454,0.29987214705880694
full_trainval_12ep_1seed,eval_epoch_12.csv,13665,0.0112076270306679,1.6244728375694963,2.0080235953343313,-0.0026274778847045,0.1949991575325974
full_trainval_12ep_1seed,eval_epoch_12.csv,1781,0.1077586677712849,1.5255490814785255,7.4863342236052075,0.002285387623075,0.2888300543777768
